file,short_text
a-e-eng.txt,NA
a-e-eng.txt,booklet explains how to comply with the attachment of earnings order (aeo) that you ha
a-e-eng.txt,make a deduction from what is left (the attachable earnings ) after you have deducted:
a-e-eng.txt,r the purpose of calculating deductions attachment of earnings orders fall into two ca
a-e-eng.txt,"ion rate of 25 calculate your employees attachable earnings, eg. 190 set aside his pro"
a-e-eng.txt,"ion rate of 25 calculate your employees attachable earnings, eg 170 set aside his prot"
a-e-eng.txt,"ion rate of 25 calculate your employees attachable earnings, eg 140 as the protected e"
a-e-eng.txt,"ger or shorter than that specied in the attachment of earnings order, calculate the nu"
a-e-eng.txt,u should calculate your employees total attachable earnings for the pay period multipl
a-e-eng.txt,an ask the court to make a consolidated attachment of earnings order (caeo). this will
a-e-eng.txt,ation is available in a handbook called attachment orders: a guide for employers avail
a1-eng.txt,NA
a1-eng.txt,cate which type of order(s) you are and attach the draft order with this application r
a100-eng.txt,"my child), who is the child to whom the attached certified copy of the entry in the re"
a101-eng.txt,"my child), who is the child to whom the attached certified copy of the entry in the re"
a101a-bil_doc.txt,"my child), who is the child to whom the attached certified copy of the sydd ynghlwm o'"
a101a-eng_doc.txt,"my child), who is the child to whom the attached certified copy of the entry in the re"
a102-eng.txt,"my child), who is the child to whom the attached certified copy of the entry in the re"
a104-eng.txt,"my child), who is the child to whom the attached birth certificate relates (1) , in fa"
a105-eng.txt,"my child), who is the child to whom the attached birth certificate relates (1) , to (2"
a107-eng.txt,"my child), who is the child to whom the attached birth certificate relates ( see note "
a107-eng.txt,the adopted children register should be attached and not a certified copy of the origi
a20-eng.txt,u will nd a list of the documents to be attached on the application form a58. if you a
a20-eng.txt,nditions applies. you will also need to attach a brief statement of the facts you are 
a21-eng.txt,you will find a list of documents to be attached on the application form a59. you may 
a5-eng.txt,ption act 1976. a copy of that order is attached.2.the transfer would be in the best i
a50-bil.txt,been made or applied for. please do not attach to this application copies of adoption 
a50-bil.txt, eich cais yn berthnasol.note: you must attach to your application a brief summary of 
a50-notes-eng.txt," completing the formimportantif you are attaching any order of the high court, county "
a51-bil.txt,NA
a51-bil.txt,hod)cases concerning a related child or attach a copy of the ) y math o orchymyn (neu 
a51-eng.txt,note 2 a copy of the placement order is attached. see note 3about other orders or proc
a51-notes-eng.txt, completing the formimportantif you are attaching any order of the high court or the f
a52-bil.txt,option.a copy of the placement order is attachedsee note 5gweler nodyn 9gwarcheidwad y
a52-eng.txt,cation a copy of the placement order is attached part 5 statement of truth if you atte
a52-nodiadau-a52-notes-bil.txt, completing the formimportantif you are attaching any order of the high court or a cou
a52-notes-eng.txt, completing the formimportantif you are attaching any order of the high court or the f
a53-bil.txt,lication (please give details below and attach a copy of the order to your application
a53-eng.txt,mber type of order date of order(please attach a copy of the order to your application
a53-nodiadau-a53-notes-bil.txt,option and children act 2002.if you are attaching any order of the high court or a cou
a53-notes-eng.txt,der section 51a of that act. if you are attaching any previous court order to your app
a54-notes-eng.txt,ption and children act 2002. if you are attaching any order of the high court or the f
a55-bil.txt,rchname of your contact in the agencyor attach a copy of the placement ordername of co
a55-eng.txt,lacement order (please give details and attach a copy of the placement order)about oth
a55-notes-eng.txt, to change a childs surname. if you are attaching any order of the high court or the f
a56-bil.txt,lacement order (please give details and attach a copy of the placement order)name of c
a56-eng.txt,lacement order (please give details and attach a copy of the placement order)see note 
a56-nodiadau-a56-notes-bil.txt,ild from the united kingdom. if you are attaching any order of the high court or the f
a56-notes-eng.txt,ild from the united kingdom. if you are attaching any order of the high court or the f
a57-bil.txt,ourt or family court court). if you are attaching an order made by a requests or court
a58-bil.txt,ical practitioner on (give date(s)) are attached to this application.declarationsin re
a58-bil.txt, are sending to explain the difference. attach two photocopies of each of the followin
a58-eng.txt,s born on and is the person to whom the attached of live births/register of adopted ch
a58-eng.txt,lfare of the child requires it.you must attach a brief statement of facts (and two cop
a58-eng.txt,ary evidence to explain the difference. attach two photocopies of each of the followin
a58-nodiadau-a58-notes-bil.txt, the register of live births.if you are attaching any order of the high court or famil
a58-notes-eng.txt,vention adoption order). fullif you are attaching any order of the high court or famil
a59-eng.txt,s born on and is the person to whom the attached regarding the childs identity relates
a59-nodiadau-a59-notes-bil.txt,m is the state of origin the if you are attaching any order of the high court or the f
a59-notes-eng.txt,r of marriages or the births.if you are attaching any order of the high court or the f
