file,requires_attachment
5050a-eng_doc.txt,FALSE
5050a-eng.txt,FALSE
5138-cym_doc.txt,FALSE
5138-eng_doc.txt,FALSE
5222-cym.txt,FALSE
5222-eng.txt,FALSE
5222a-bil.txt,FALSE
5222a-eng.txt,FALSE
a-e-eng.txt,TRUE
a1-cym.txt,FALSE
a1-eng.txt,FALSE
a100-eng.txt,FALSE
a101-eng.txt,FALSE
a101a-bil_doc.txt,FALSE
a101a-eng_doc.txt,FALSE
a102-eng.txt,FALSE
a103-eng.txt,FALSE
a104-eng.txt,FALSE
a105-eng.txt,FALSE
a106-eng.txt,FALSE
a107-eng.txt,FALSE
a2-eng.txt,FALSE
a20-bil.txt,FALSE
a20-cym.txt,FALSE
a20-eng.txt,FALSE
a20(1)-cym.txt,FALSE
a20(1)-eng.txt,FALSE
a21-cym.txt,FALSE
a21-eng.txt,FALSE
a4-eng.txt,FALSE
a5-eng.txt,FALSE
a50-bil.txt,FALSE
a50-eng.txt,FALSE
a50-nodiadau-a50-notes-bil.txt,FALSE
a50-notes-eng.txt,FALSE
a51-bil.txt,FALSE
a51-eng.txt,FALSE
a51-nodiadau-a51-notes-bil.txt,FALSE
a51-notes-eng.txt,FALSE
a52-bil.txt,FALSE
a52-eng.txt,FALSE
a52-nodiadau-a52-notes-bil.txt,FALSE
a52-notes-eng.txt,FALSE
a53-bil.txt,FALSE
a53-eng.txt,FALSE
a53-nodiadau-a53-notes-bil.txt,FALSE
a53-notes-eng.txt,FALSE
a54-bil.txt,FALSE
a54-eng.txt,FALSE
a54-nodiadau-a54-notes-bil.txt,FALSE
a54-notes-eng.txt,FALSE
a55-bil.txt,FALSE
a55-eng.txt,FALSE
a55-nodiadau-a55-notes-bil.txt,FALSE
a55-notes-eng.txt,FALSE
a56-bil.txt,FALSE
a56-eng.txt,FALSE
a56-nodiadau-a56-notes-bil.txt,FALSE
a56-notes-eng.txt,FALSE
a57-bil.txt,FALSE
a57-eng.txt,FALSE
a57-nodiadau-a57-notes-bil.txt,FALSE
a57-notes-eng.txt,FALSE
a58-bil.txt,FALSE
a58-eng.txt,FALSE
a58-nodiadau-a58-notes-bil.txt,FALSE
a58-notes-eng.txt,FALSE
a59-bil.txt,FALSE
a59-eng.txt,FALSE
a59-nodiadau-a59-notes-bil.txt,FALSE
a59-notes-eng.txt,FALSE
a60-bil.txt,FALSE
a60-eng.txt,FALSE
a60-nodiadau-a60-notes-bil.txt,FALSE
a60-notes-eng.txt,FALSE
a61-bil.txt,FALSE
a61-eng.txt,FALSE
a61-nodiadau-a61-notes-bil.txt,FALSE
a61-notes-eng.txt,FALSE
a62-bil.txt,FALSE
a62-eng.txt,FALSE
a62-nodiadau-a62-notes-bil.txt,FALSE
a62-notes-eng.txt,FALSE
a63-bil.txt,FALSE
a63-eng.txt,FALSE
a63-nodiadau-a63-notes-bil.txt,FALSE
a63-notes-eng.txt,FALSE
a64-bil.txt,FALSE
a64-eng.txt,FALSE
a64a-bil.txt,FALSE
a64a-eng.txt,FALSE
a65-bil.txt,FALSE
a65-eng.txt,FALSE
ac001-(birmingham)-eng.txt,FALSE
ac001-(cardiff)-eng.txt,FALSE
ac001-(leeds)-eng.txt,FALSE
ac001-(london)-eng.txt,FALSE
ac001-(manchester)-eng.txt,FALSE
ac010-eng.txt,FALSE
ac011-eng.txt,FALSE
ac013-eng.txt,FALSE
ac014-eng_doc.txt,FALSE
ac015-eng.txt,FALSE
ac016-eng.txt,FALSE
ac017-eng.txt,FALSE
adm1-eng.txt,FALSE
adm10-eng.txt,FALSE
adm11-eng.txt,FALSE
adm12-eng.txt,FALSE
adm12a-eng.txt,FALSE
adm13-eng.txt,FALSE
adm14-eng.txt,FALSE
adm15-eng.txt,FALSE
adm15b-eng.txt,FALSE
adm16-eng.txt,FALSE
adm16a-eng.txt,FALSE
adm17-eng.txt,FALSE
adm17a-eng.txt,FALSE
adm18-eng.txt,FALSE
adm19-eng.txt,FALSE
adm1a-eng.txt,FALSE
adm1c-cym.txt,FALSE
adm1c-eng.txt,FALSE
adm2-cym.txt,FALSE
adm2-eng.txt,FALSE
adm20-eng.txt,FALSE
adm21-eng.txt,FALSE
adm3-eng.txt,FALSE
adm4-eng.txt,FALSE
adm5-eng.txt,FALSE
adm6-eng.txt,FALSE
adm7-eng.txt,FALSE
adm9-eng.txt,FALSE
ae-canllaw-cym.txt,FALSE
ae-faq-cym.txt,FALSE
aj20-cym.txt,FALSE
aj22-eng.txt,FALSE
aj24-cym.txt,FALSE
