form,dependencies
5050a-eng.pdf.txt,"c(""5050a"", ""5050"")"
5222-cym.pdf.txt,5222
5222-eng.pdf.txt,5222
5222a-bil.pdf.txt,"c(""5222a"", ""5222"")"
5222a-eng.pdf.txt,"c(""5222a"", ""5222"")"
a-e-eng.pdf.txt,n1
a1-cym.pdf.txt,a1
a1-eng.pdf.txt,"c(""c2"", ""a1"")"
a100-eng.pdf.txt,"c(""a100"", ""a1"")"
a101-eng.pdf.txt,"c(""a101"", ""a1"")"
a102-eng.pdf.txt,"c(""a102"", ""a1"")"
a103-eng.pdf.txt,"c(""a103"", ""a1"")"
a104-eng.pdf.txt,"c(""a104"", ""a1"")"
a105-eng.pdf.txt,"c(""a105"", ""a1"")"
a106-eng.pdf.txt,"c(""a106"", ""a1"")"
a107-eng.pdf.txt,"c(""a107"", ""a1"")"
a2-eng.pdf.txt,a2
a20-bil.pdf.txt,none detected
a20-cym.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb4"", ""cb1"", ""b1"", ""a58"", ""a21"", ""a20"", ""a5"", ""a2"")"
a20-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""cb4"", ""cb1"", ""b1"", ""a58"", ""a21"", ""a20"", ""a5"", ""a2"")"
a20(1)-cym.pdf.txt,"c(""a20"", ""a2"")"
a20(1)-eng.pdf.txt,"c(""a20"", ""a2"")"
a21-cym.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""a59"", ""a21"", ""a5"", ""a2"")"
a21-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""a59"", ""a21"", ""a5"", ""a2"")"
a4-eng.pdf.txt,"c(""a4"", ""d3"")"
a5-eng.pdf.txt,a5
a50-bil.pdf.txt,"c(""n15"", ""n11"", ""n8"", ""n1"", ""n16"", ""a50"", ""a5"", ""n17"", ""n19"", ""d1"", ""d15"")"
a50-eng.pdf.txt,"c(""a50"", ""a5"")"
a50-nodiadau-a50-notes-bil.pdf.txt,none detected
a50-notes-eng.pdf.txt,"c(""a65"", ""a50"", ""a5"", ""a6"", ""a50 notes"")"
a51-bil.pdf.txt,"c(""n15"", ""n11"", ""n1"", ""a51"", ""a5"", ""d1"")"
a51-eng.pdf.txt,"c(""a51"", ""a5"")"
a51-nodiadau-a51-notes-bil.pdf.txt,none detected
a51-notes-eng.pdf.txt,"c(""ex160a"", ""ex160"", ""ex50"", ""a51"", ""a5"", ""a51 notes"")"
a52-bil.pdf.txt,"c(""a52"", ""a5"", ""d1"")"
a52-eng.pdf.txt,"c(""a52"", ""a5"")"
a52-nodiadau-a52-notes-bil.pdf.txt,"c(""fp2"", ""a65"", ""a52"", ""a5"", ""a6"", ""a52 notes"")"
a52-notes-eng.pdf.txt,"c(""fp2"", ""ex160a"", ""ex160"", ""ex50"", ""a52"", ""a5"", ""a52 notes"")"
a53-bil.pdf.txt,"c(""a53"", ""a5"", ""d1"")"
a53-eng.pdf.txt,"c(""a53"", ""a5"")"
a53-nodiadau-a53-notes-bil.pdf.txt,"c(""fp2"", ""a65"", ""a53"", ""a5"", ""a6"", ""a53 notes"")"
a53-notes-eng.pdf.txt,"c(""fp2"", ""a53"", ""a5"", ""a53 notes"")"
