form,dependencies
5050a-eng_doc.txt,none detected
5050a-eng.txt,5050
5138-cym_doc.txt,none detected
5138-eng_doc.txt,none detected
5222-cym.txt,"c(""lwfansau"", ""gwys-rheithgor"")"
5222-eng.txt,"c(""juror-charter"", ""jury-summons-form"", ""costs"", ""allowances"")"
5222a-bil.txt,juror-charter
5222a-eng.txt,juror-charter
a-e-eng.txt,"c(""costs"", ""allowances"")"
a1-cym.txt,none detected
a1-eng.txt,form-a1
a100-eng.txt,none detected
a101-eng.txt,none detected
a101a-bil_doc.txt,none detected
a101a-eng_doc.txt,none detected
a102-eng.txt,none detected
a103-eng.txt,none detected
a104-eng.txt,none detected
a105-eng.txt,none detected
a106-eng.txt,none detected
a107-eng.txt,none detected
a2-eng.txt,form-a2
a20-bil.txt,none detected
a20-cym.txt,"c(""ex160a"", ""ex50"", ""cb4"", ""cb1"", ""a58"", ""a21"")"
a20-eng.txt,"c(""ex160a"", ""ex50"", ""cb4"", ""cb1"", ""a58"", ""a21"")"
a20(1)-cym.txt,a20
a20(1)-eng.txt,a20
a21-cym.txt,"c(""ex160a"", ""ex50"", ""a59"")"
a21-eng.txt,"c(""ex160a"", ""ex50"", ""a59"")"
a4-eng.txt,none detected
a5-eng.txt,none detected
a50-bil.txt,none detected
a50-eng.txt,fee-account
a50-nodiadau-a50-notes-bil.txt,none detected
a50-notes-eng.txt,"c(""a65"", ""a50"")"
a51-bil.txt,none detected
a51-eng.txt,fee-account
a51-nodiadau-a51-notes-bil.txt,none detected
a51-notes-eng.txt,"c(""ex160a"", ""ex50"", ""a51"")"
a52-bil.txt,none detected
a52-eng.txt,none detected
a52-nodiadau-a52-notes-bil.txt,"c(""a65"", ""a52-notes"", ""a52"", ""a52 notes"")"
a52-notes-eng.txt,"c(""ex160a"", ""ex50"")"
a53-bil.txt,none detected
a53-eng.txt,fee-account
a53-nodiadau-a53-notes-bil.txt,"c(""fp2"", ""a65"", ""a53"", ""a53-notes"", ""a53 notes"")"
a53-notes-eng.txt,"c(""fp2"", ""a53"")"
a54-bil.txt,none detected
a54-eng.txt,none detected
a54-nodiadau-a54-notes-bil.txt,none detected
a54-notes-eng.txt,a54
a55-bil.txt,fee-account
a55-eng.txt,fee-account
a55-nodiadau-a55-notes-bil.txt,none detected
a55-notes-eng.txt,"c(""ex160a"", ""ex50"", ""a55"")"
a56-bil.txt,fee-account
a56-eng.txt,fee-account
a56-nodiadau-a56-notes-bil.txt,a56
a56-notes-eng.txt,a56
a57-bil.txt,a65
a57-eng.txt,fee-account
a57-nodiadau-a57-notes-bil.txt,"c(""a65"", ""a57-notes"", ""a57"", ""a57 notes"")"
a57-notes-eng.txt,a57
a58-bil.txt,"c(""fee-account"", ""ex160a"", ""a60"", ""a59"")"
a58-eng.txt,"c(""fee-account"", ""ex160"", ""a60"", ""a59"")"
a58-nodiadau-a58-notes-bil.txt,"c(""a60"", ""a59"", ""a58"", ""a58-notes"", ""a58 notes"")"
a58-notes-eng.txt,"c(""ex160"", ""ex50"", ""costs"", ""a60"", ""a59"", ""a58"", ""a58 notes"")"
a59-bil.txt,none detected
a59-eng.txt,a61
a59-nodiadau-a59-notes-bil.txt,"c(""a61"", ""a59"")"
a59-notes-eng.txt,"c(""a61"", ""a59"", ""a59 notes"")"
a60-bil.txt,"c(""ex160a"", ""a61"")"
a60-eng.txt,a61
a60-nodiadau-a60-notes-bil.txt,"c(""a60"", ""a60-notes"", ""a60 notes"")"
a60-notes-eng.txt,"c(""a60"", ""a60 notes"")"
a61-bil.txt,none detected
a61-eng.txt,none detected
a61-nodiadau-a61-notes-bil.txt,"c(""a61"", ""a61-notes"", ""a61 notes"")"
a61-notes-eng.txt,a61
a62-bil.txt,none detected
a62-eng.txt,fee-account
a62-nodiadau-a62-notes-bil.txt,none detected
a62-notes-eng.txt,a62
a63-bil.txt,none detected
a63-eng.txt,fee-account
a63-nodiadau-a63-notes-bil.txt,none detected
a63-notes-eng.txt,"c(""ex50"", ""a63"")"
a64-bil.txt,none detected
a64-eng.txt,fee-account
a64a-bil.txt,none detected
a64a-eng.txt,none detected
a65-bil.txt,none detected
a65-eng.txt,none detected
ac001-(birmingham)-eng.txt,"c(""ex160"", ""ac001"")"
ac001-(cardiff)-eng.txt,"c(""ex160"", ""ac001"")"
ac001-(leeds)-eng.txt,"c(""ex160"", ""ac001"")"
ac001-(london)-eng.txt,"c(""ex160"", ""ac001"")"
ac001-(manchester)-eng.txt,"c(""ex160"", ""ac001"")"
ac010-eng.txt,none detected
ac011-eng.txt,none detected
ac013-eng.txt,none detected
ac014-eng_doc.txt,none detected
ac015-eng.txt,none detected
ac016-eng.txt,none detected
ac017-eng.txt,none detected
adm1-eng.txt,none detected
adm10-eng.txt,none detected
adm11-eng.txt,none detected
adm12-eng.txt,none detected
adm12a-eng.txt,none detected
adm13-eng.txt,"c(""costs"", ""adm14"")"
adm14-eng.txt,none detected
adm15-eng.txt,none detected
adm15b-eng.txt,"c(""adm16"", ""adm16a"")"
adm16-eng.txt,none detected
adm16a-eng.txt,none detected
adm17-eng.txt,costs
adm17a-eng.txt,costs
adm18-eng.txt,costs
adm19-eng.txt,costs
adm1a-eng.txt,none detected
adm1c-cym.txt,"c(""costs"", ""adm2"")"
adm1c-eng.txt,none detected
adm2-cym.txt,none detected
adm2-eng.txt,none detected
adm20-eng.txt,costs
adm21-eng.txt,none detected
adm3-eng.txt,none detected
adm4-eng.txt,none detected
adm5-eng.txt,none detected
adm6-eng.txt,none detected
adm7-eng.txt,none detected
adm9-eng.txt,none detected
ae-canllaw-cym.txt,none detected
ae-faq-cym.txt,none detected
aj20-cym.txt,none detected
aj22-eng.txt,none detected
aj24-cym.txt,none detected
aj24-eng.txt,none detected
aj25-cym.txt,none detected
aj26-cym.txt,none detected
aj26-eng.txt,none detected
allowances-eng.txt,costs
application-for-anonymity-(iat)-eng_doc.txt,none detected
application-for-anonymity-(utiac)-eng_doc.txt,none detected
application-for-anonymity-(utiac)-eng.txt,none detected
application-for-anonymity-notes-(iat)-eng.txt,none detected
application-for-anonymity-notes-(utiac)-eng.txt,none detected
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,costs
b1-eng_doc.txt,none detected
bank-1-eng_doc.txt,none detected
bank-2-eng_doc.txt,none detected
bank-3-eng_doc.txt,none detected
bank-4-eng_doc.txt,none detected
bank-5-eng_doc.txt,none detected
bank-6-eng_doc.txt,none detected
bank-7-eng_doc.txt,none detected
bank-8-eng_doc.txt,none detected
bill-of-costs-(scco)-eng.txt,"c(""scco"", ""n258c"", ""n210"", ""n208"", ""ex340"", ""costs"")"
c(pra1)-bil.txt,none detected
c(pra1)-eng.txt,none detected
c(pra2)-bil.txt,none detected
c(pra2)-eng.txt,none detected
c(pra3)-bil.txt,none detected
c(pra3)-eng.txt,none detected
c1-bil.txt,"c(""cb1"", ""c100"", ""c110"", ""c79"", ""c19"", ""c17"", ""c15"", ""c11"", ""c13"")"
c1-cym.txt,none detected
c1-eng.txt,"c(""fm1"", ""cb1"", ""c100"", ""c79"")"
c100-bil.txt,"c(""fee-account"", ""ex50"", ""cb7"", ""cb1"", ""c79"", ""c1a"")"
c100-eng.txt,"c(""fee-account"", ""ex50"", ""cb7"", ""cb1"", ""c79"", ""c1a"")"
c11-bil.txt,none detected
c110-bil.txt,none detected
c110-eng.txt,fee-account
c110a-cym.txt,none detected
c110a-eng.txt,fee-account
c12-bil.txt,none detected
c12-eng.txt,none detected
c120-eng.txt,none detected
c13-eng.txt,none detected
c13a-eng.txt,none detected
c14-bil.txt,none detected
c14-eng.txt,none detected
c15-bil.txt,none detected
c15-eng.txt,none detected
c16-bil.txt,none detected
c16-eng.txt,none detected
c17-bil.txt,none detected
c17-eng.txt,none detected
c17a-bil.txt,none detected
c17a-eng.txt,none detected
c18-bil.txt,none detected
c18-eng.txt,none detected
c19-eng.txt,none detected
c1a-bil.txt,"c(""costs"", ""c100"")"
c1a-eng.txt,c100
c1a-nodiadau-c1a-notes-bil.txt,none detected
c1a-notes-eng.txt,none detected
c2-bil.txt,cb1
c2-eng.txt,"c(""fm1"", ""fee-account"", ""ex160a"", ""ex50"", ""cb1"", ""c100"", ""c1a"")"
c20-cym.txt,none detected
c20-eng.txt,none detected
c23-eng.txt,none detected
c3-bil.txt,none detected
c3-eng.txt,none detected
c4-bil.txt,none detected
c4-eng.txt,none detected
c5-bil.txt,cb1
c5-eng.txt,"c(""fee-account"", ""cb1"")"
c51-bil.txt,"c(""fee-account"", ""cb1"", ""c52"")"
c51-eng.txt,"c(""fee-account"", ""cb1"", ""c52"")"
c52-bil.txt,"c(""form-a"", ""form a"")"
c52-eng.txt,"c(""form-a"", ""form a"")"
c60-bil.txt,none detected
c60-eng.txt,none detected
c61-eng.txt,none detected
c62-eng.txt,none detected
c63-bil.txt,"c(""ex160a"", ""ex50"", ""cb1"")"
c63-eng.txt,"c(""fee-account"", ""ex160a"", ""ex50"", ""cb1"")"
c64-bil.txt,"c(""ex160a"", ""ex50"", ""cb1"")"
c64-eng.txt,"c(""fee-account"", ""ex160a"", ""ex50"", ""cb1"")"
c65-bil.txt,"c(""ex160a"", ""ex50"", ""cb1"")"
c65-eng.txt,"c(""fee-account"", ""ex160a"", ""ex50"", ""cb1"")"
c66-bil.txt,"c(""fee-account"", ""cb1"", ""c1a"")"
c66-eng.txt,"c(""fee-account"", ""cb1"", ""c1a"")"
c67-eng.txt,"c(""cb1"", ""c1a"")"
c68-eng.txt,"c(""cb1"", ""c1a"")"
c69-eng.txt,"c(""cb1"", ""c1a"")"
c7-bil.txt,none detected
c7-eng.txt,"c(""c100"", ""c79"", ""c78"", ""c1a"", ""c10a"")"
c78-bil.txt,ex160a
c78-eng.txt,fee-account
c79-bil.txt,cb5
c79-eng.txt,"c(""fee-account"", ""ex160a"", ""cb5"")"
c8-bil.txt,none detected
c8-eng.txt,none detected
c9-bil.txt,none detected
c9-eng.txt,none detected
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.txt,jury-summons-form
capsbacs1-eng.txt,"c(""capsbacs3"", ""capsbacs4"", ""capsbacs2"")"
capsbacs2-eng.txt,none detected
capsbacs3-eng.txt,none detected
capsbacs4-eng.txt,capsbacs2
case-management-information-sheet-eng_doc.txt,costs
cb1-cym.txt,"c(""fp9"", ""ex710"", ""ex160a"", ""ex50"", ""cb5"", ""cb4"", ""cb3"", ""c100"", ""c1a"", ""a20"", ""c6a"", ""c10a"")"
cb1-eng.txt,"c(""fp9"", ""ex710"", ""ex160a"", ""ex50"", ""costs"", ""cb5"", ""cb4"", ""cb3"", ""c100"", ""c1a"", ""a20"", ""c6a"", ""c10a"")"
cb2-cym.txt,"c(""cb7"", ""c100"")"
cb2-eng.txt,"c(""cb7"", ""c100"")"
cb3-cym.txt,"c(""c79"", ""c6a"", ""c10a"")"
cb3-eng.txt,"c(""c79"", ""c6a"", ""forma"")"
cb4-cym.txt,"c(""fm1"", ""ex160a"", ""ex50"", ""cb3"", ""cb1"", ""c13a"")"
cb4-eng.txt,"c(""fm1"", ""ex160a"", ""ex50"", ""cb3"", ""cb1"", ""c13a"")"
cb5-cym.txt,"c(""ex160a"", ""ex50"", ""cb3"", ""cb1"", ""c78"", ""c6a"")"
cb5-eng.txt,"c(""ex160a"", ""ex50"", ""costs"", ""cb3"", ""cb1"", ""c78"", ""c6a"")"
cb6-cym.txt,none detected
cb6-eng.txt,c120
cb7-cym.txt,none detected
cb7-eng.txt,"c(""ex50"", ""costs"", ""cb6"", ""cb1"", ""c100"")"
certificate-of-loss-eng.txt,"c(""jury-summons-form"", ""allowances"")"
ch1-eng_doc.txt,costs
ch10-eng_doc.txt,none detected
ch11-eng_doc.txt,costs
ch12-eng_doc.txt,costs
ch13-eng_doc.txt,none detected
ch14-eng_doc.txt,costs
ch15-eng_doc.txt,costs
ch16-eng_doc.txt,costs
ch17-eng_doc.txt,costs
ch18-eng_doc.txt,costs
ch19-eng_doc.txt,costs
ch2-eng_doc.txt,costs
ch20-eng_doc.txt,costs
ch21-eng_doc.txt,costs
ch22-eng_doc.txt,none detected
ch23-eng_doc.txt,none detected
ch24-eng_doc.txt,none detected
ch25-eng_doc.txt,none detected
ch26-eng_doc.txt,costs
ch27-eng_doc.txt,costs
ch28-eng_doc.txt,costs
ch29-eng_doc.txt,none detected
ch3-eng_doc.txt,costs
ch30-eng_doc.txt,costs
ch31-eng_doc.txt,costs
ch32-eng_doc.txt,costs
ch33-eng_doc.txt,none detected
ch34-eng_doc.txt,none detected
ch35-eng_doc.txt,costs
ch36-eng_doc.txt,costs
ch37-eng_doc.txt,costs
ch38-eng_doc.txt,costs
ch39-eng_doc.txt,costs
ch4-eng_doc.txt,costs
ch40-eng_doc.txt,costs
ch41-eng_doc.txt,costs
ch42-eng_doc.txt,costs
ch43-eng_doc.txt,none detected
ch44-eng_doc.txt,none detected
ch5-eng_doc.txt,none detected
ch6-eng_doc.txt,costs
ch7-eng_doc.txt,none detected
ch8-eng_doc.txt,none detected
ch9-eng_doc.txt,costs
child-support-how-to-appeal-(england)-eng.txt,none detected
child-support-how-to-appeal-(scotland)-eng.txt,none detected
cic-guide-1996-eng.txt,costs
cic-guide-2001-eng.txt,costs
cic-guide-2008-eng.txt,costs
cic-guide-2012-eng.txt,none detected
coa-bundle-index-a1-a2-a3-eng_doc.txt,n460
coa-bundle-index-a1-a2-a3a-eng_doc.txt,n460
coa-bundle-index-a2-(eat)-eng_doc.txt,"c(""n460"", ""et3"", ""et1"")"
coa-bundle-index-a2-(fa)-eng_doc.txt,n460
coa-bundle-index-a2-(sa)-eng_doc.txt,n460
coa-bundle-index-a3-c3-eng_doc.txt,none detected
coa-bundle-index-a3a-eng_doc.txt,n460
coa-bundle-index-a3b-eng_doc.txt,n460
