,,Form name,Form name,Form name,Form name,Form name,Form name,Form name,Welsh,Welsh,Welsh,Guidance,Guidance,Guidance,Relationships,Relationships,Relationships,Relationships,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Usage,Usage,Usage,Usage,Owner,Owner,Owner,Owner,Owner,Owner,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Pay,Pay,
GDS submit,GDS submit notes,Form code prefix,Form code,Form type,Form title,Service name,site location,form location,Form title,site location,form location,Guidance for forms code,Guidance for form title,Guidance location,Dependent,Dependent,Dependent,Dependent,end to end online,online service status,"online form, offline step outs",downloadable form type,"offline - ink, print and post","offline - type, print and post",offline format,Location 1,Location 2,Location 1 - page views,Location 2 - page views,Downloads,Unique downloads,Dept/agency,Policy area,Policy lead,Sign off,Top 25?,Reform?,Wet signature,ID docs,User sends original doc,User can send copy of doc,Issuing authority sends doc,Eligibility needed?,Additional evidence required?,Payment required?,Online payment?,Notes
n,Rework part of HMCTS Reform,,PA1,,Probate application,,,,,,,,,,,,,,,,,,,,,,,,,"94,206","83,148",HMCTS,,,,,y,,,,,,,,,,Rework part of HMCTS Reform
n,Rework part of HMCTS Reform,,D8,,"Application for a divorce, dissolution or to apply for a (judicial) separation order",,,,,,,,,,,,,,,,,,,,,,,,,"60,465","53,453",HMCTS,,,,,y,,,,,,,,,,Rework part of HMCTS Reform
y,There is already an online service (Money Claim Online) which is one of the Top 25,,N1,,Claim form,,,,,,,,,,,,,,,,,,,,,,,,,"37,117","32,786",HMCTS,,,,y,y,,,,,,,,,,There is already an online service (Money Claim Online) which is one of the Top 25
n,Fran White leading,,SSCS1,,"Notice of appeal against a decision of the
Department for Work and Pensions",,,,,,,,,,,,,,,,,,,,,,,,,"36,948","32,542",HMCTS,,,,,,,,,,,No,Yes (Mandatory reconsideration notice must be sent if held by submitter),No,,
y,high priority,,Deed Poll Pack,,Deed Poll Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,,"Geraint Evans, Tim Pollen",RCJ judge,,,,,,,,No,No,Yes,,
n,"Divorce-related: in scope of Reform

https://www.gov.uk/looking-after-children-divorce/apply-for-court-order",,C100,,"Application under the Children Act 1989 for a child arrangements, prohibited steps, specific issue section 8 order or to vary or discharge a section 8 order",,,,,,,,,,,,,,,,,,,,,,,,,"35,168","31,158",HMCTS,,,,,,,,,,,No,"In some cases, but mostly not",Yes,,"Divorce-related: in scope of Reform

https://www.gov.uk/looking-after-children-divorce/apply-for-court-order"
y,Application for a county court judgement to be set aside,,N244,,Application Notice,,,,,,,,,,,,,,,,,,,,,,,,,"31,274","27,476",HMCTS,,,,,,,,,,,No,A witness statement may be attached to support the application,Yes (fee remission also possible),,Application for a county court judgement to be set aside
,Divorce-related: in scope of Reform,,D84,,"Application for a decree nisi/conditional order or(judicial) separationdecree/order",,,,,,,,,,,,,,,,,,,,,,,,,"20,454","17,909",HMCTS,,,,,,,,,,,,No,,,Divorce-related: in scope of Reform
,Divorce-related: in scope of Reform,,D36,,Notice of application for decree nisi to be made absolute or conditional order to be made final,,,,,,,,,,,,,,,,,,,,,,,,,"19,211","17,055",HMCTS,,,,,,,,,,,,No,,,Divorce-related: in scope of Reform
n,"Top 25 service

Also requires a combination of 3/4 other forms one of which is an assessment of capacity carried out by practitioner (https://www.gov.uk/become-deputy/apply-deputy)

Court of Protection rules (2001) say application must be made by letter - not sure if this has since been updated",,COP1,,Court of Protection Application Form,,,,,,,,,,,,,,,,,,,,,,,,,"15,034","13,081",HMCTS,,,,y,,,,,,,No,Yes (Assessment of capcity must be carried out by practitioner),Yes,,"Top 25 service

Also requires a combination of 3/4 other forms one of which is an assessment of capacity carried out by practitioner (https://www.gov.uk/become-deputy/apply-deputy)

Court of Protection rules (2001) say application must be made by letter - not sure if this has since been updated"
,"Online service ""Help with fees"" already exists",,EX160,,Apply for help with fees,,,,,,,,,,,,,,,,,,,,,,,,,"13,127","11,224",HMCTS,,,,,,,,,,,,,,,"Online service ""Help with fees"" already exists"
y,,,N215,,Certificate of Service,,,,,,,,,,,,,,,,,,,,,,,,,"10,928","9,834",HMCTS,,Jane Wright,Civil procedural rules committee,,,,,,,,No,In some cases the claimant may attach documents that were served but have not yet been lodged with the court,No,,
,"Online service ""Make a claim to the employment tribunal"" already exists",,ET1,,Employment tribunal claim,,,,,,,,,,,,,,,,,,,,,,,,,"10,900","9,434",HMCTS,,,,,,,,,,,,,,,"Online service ""Make a claim to the employment tribunal"" already exists"
n,"Top 25 service (Gov.uk name ""Get an injunction if you've been a victim of domestic abuse"")

Also may require submission of form C8",,FL401,,Application for a non-molestation order or an occupation order,,,,,,,,,,,,,,,,,,,,,,,,,"10,875","9,502",HMCTS,,,,y,,,,,,,No,Yes,No,,"Top 25 service (Gov.uk name ""Get an injunction if you've been a victim of domestic abuse"")

Also may require submission of form C8"
