Unique Form ID,Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Signature,Payment,Attachment,Owner,Processor,End User,Multiple Users on same form,Fields,Internal Logic,Dependencies
1,5138,"Application for Extension of a Representation Order to More Than One Advocate, or to a QC Alone",HMCTS,Form,English,04/2014,5138-eng.doc,DOC,Formfinder,Crown Court,,,,,,,,,,,,,
2,5138,Cais am ymestyn gorchymyn cynrychiolaeth i fwy nag un eiriolwr neu i CF yn unig (Rheoliad 18 o'r Rheoliadau Cymorth Cyfreithiol Troseddol (Penderfyniadau gan Lys a Dewis Cynrychiolydd) 2013 fel y'u diwygiwyd),HMCTS,Form,Welsh,04/2014,5138-cym.doc,DOC,Formfinder,Llys y Goron,,,,,,,,,,,,,
3,5222,Your guide to Jury Service,HMCTS,Guidance,English,10/2016,5222-eng.pdf,PDF,Formfinder,Jury Service,,,,,,,,,,,,,
4,5222,Eich canllaw i Wasanaeth Rheithgor,HMCTS,Guidance,Welsh,02/2015,5222-cym.pdf,PDF,Formfinder,Gwasanaeth rheithgor,,,,,,,,,,,,,
5,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.doc,DOC,Formfinder,Crown Court,,,,,,,,,,,,,
6,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.pdf,PDF,Formfinder,Crown Court,,,,,,,,,,,,,
7,5222A,Supporting you through Jury Service,HMCTS,Leaflet,English,11/2016,5222a-eng.pdf,PDF,Formfinder,Jury Service,,,,,,,,,,,,,
8,5222A,Yn gefn ichi Drwy'ch Gwasanaeth Rheithgor | Supporting you through Jury Service,HMCTS,Leaflet,Welsh / Bilingual,10/2016,5222a-bil.pdf,PDF,Formfinder,Jury Service,,,,,,,,,,,,,
9,A/E,Your guide to the Attachment of Earnings Act 1971,HMCTS,Guidance,English,11/2014,a-e-eng.pdf,PDF,Formfinder,Attachment of Earnings,,,,,,,,,,,,,
10,A1,Notice of [intention to proceed with] an application for a financial remedy (other than a financial order) in the county or High Court,HMCTS,Form,English,04/2014,a1-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,,,,,,,,,,,,,
11,A1,Hysbysiad o gais [o fwriad i fwrw ymlaen a chais] am rwymedi ariannol (ar wahan i orchymyn ariannol),HMCTS,Form,Welsh,10/2016,a1-cym.pdf,PDF,Formfinder,Ysgariad/Diddymu Partneriaeth Sifil,,,,,,,,,,,,,
12,A100,Consent to the placement of my child for adoption with any prospective adopters chosen by the Adoption Agency. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a100-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
13,A101,Consent to the placement of my child for adoption with identified prospective adopters. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a101-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
14,A101A,Agreement to the making of a parental order in respect of my child. Section 54 of the Human Fertilisation and Embryology Act 2008,HMCTS,Form,English,04/2011,a101a-eng.doc,DOC,Formfinder,Adoption,,,,,,,,,,,,,
15,A101A,Cytundeb i wneud gorchymyn rhieni yng nghyswllt fy mhlentyn / Agreement to the making of a parental order in respect of my child,HMCTS,Form,Welsh / Bilingual,04/2010,a101a-bil.doc,DOC,Formfinder,Adoption,,,,,,,,,,,,,
16,A102,"Consent to the placement of my child for adoption with identified prospective adopter(s) and, if the placement breaks down, with any prospective adopter(s) chosen by the adoption agency. Section 19 of the Adoption and Children Act 2002",HMCTS,Form,English,04/2013,a102-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
17,A103,Advance consent to Adoption. Section 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a103-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
18,A104,Consent to adoption. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a104-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
19,A105,Consent to the making of an order under Section 84 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a105-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
20,A106,Withdrawal of consent. Sections 19 and 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2011,a106-eng.pdf,PDF,Formfinder,Family,,,,,,,,,,,,,
21,A107,Consent by the child's parent to adoption by their partner. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a107-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
22,A2,Notice of [intention to proceed with] an application for a financial remedy in the magistrates' court,HMCTS,Form,English,04/2011,a2-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,,,,,,,,,,,,,
23,A20,Adoption - A guide for family court users,HMCTS,Leaflet,English,11/2016,a20-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
24,A20,Mabwysiadu: Canllaw i ddefnyddwyr y llys teulu,HMCTS,Guidance,Welsh,04/2014,a20-cym.pdf,PDF,Formfinder,Mabwysiadu,,,,,,,,,,,,,
25,A20,Mabwysiadu: Arweiniad i Ddefnyddwyr y Llysoedd / Adoption: A Guide for Court Users,HMCTS,Guidance,Welsh / Bilingual,10/2003,a20-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
26,A20(1),President's intercountry supplement,HMCTS,Leaflet,English,11/2008,a20(1)-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
27,A20(1),Canolfannau Mabwysiadu Rhyngwladol - Arweiniad a gyhoeddwyd gan Lywydd yr Adran Deulu,HMCTS,Guidance,Welsh,11/2008,a20(1)-cym.pdf,PDF,Formfinder,Mabwysiadu,,,,,,,,,,,,,
28,A21,Intercountry adoption and the 1993 Hague Convention,HMCTS,Leaflet,English,11/2016,a21-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
29,A21,Mabwysiadu Rhyng-wladol a Chytundeb yr Hag 1993,HMCTS,Leaflet,Welsh,04/2014,a21-cym.pdf,PDF,Formfinder,Mabwysiadu,,,,,,,,,,,,,
30,A4,Application for revocation of an order freeing a child for adoption,HMCTS,Form,English,06/2001,a4-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
31,A5,Application for substitution of one adoption agency for another,HMCTS,Form,English,05/2002,a5-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
32,A50,Application for a Placement Order (Section 22 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a50-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
33,A50,Cais am orchymyn lleoli. Adran 22 Deddf Mabwysiadu a Phlant 2002 / Application for a placement order Section 22 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a50-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
34,A50 Nodiadau / A50 Notes,Cais am Orchymyn Lleoli (Ffurflen A50) Nodiadau ar lenwi'r ffurflen / Application for a Placement Order (Form A50) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a50-nodiadau-a50-notes-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
35,A50 Notes,Application for a Placement Order (Form A50) - Notes on completing the form,HMCTS,Notes,English,04/2014,a50-notes-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
36,A51,Application for variation of a placement order (Section 23 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a51-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
37,A51,Cais i amrywio gorchymyn lleoli. Adran 23 Deddf Mabwysiadu a Phlant 2002 / Application for variation of a placement order Section 23 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a51-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
38,A51 Nodiadau / A51 Notes,Cais i amrywio gorchymyn lleoli (Ffurflen 51) Nodiadau ar lenwi'r ffurflen / Application for variation of a placement order (Form A51) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a51-nodiadau-a51-notes-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
39,A51 Notes,Application for variation of a placement order (Form A51) - Notes on completing the form,HMCTS,Notes,English,04/2014,a51-notes-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
40,A52,Application for revocation of a Placement Order (Section 24 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a52-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
41,A52,Cais am ddiddymu gorchymyn lleoli Adran 24 Deddf Mabwysiadu a Phlant 2002 / Application for revocation of a placement order Section 24 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a52-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
42,A52 Nodiadau / A52 Notes,Cais am ddiddymu gorchymyn lleoli (Ffurflen 52). Nodiadau ar lenwi'r ffurflen / Application for revocation of a placement order (Form 52). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,04/2011,a52-nodiadau-a52-notes-bil.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
43,A52 Notes,Application for Revocation of a Placement Order (Form 52) - Notes on Completing the Form,HMCTS,Notes,English,04/2014,a52-notes-eng.pdf,PDF,Formfinder,Adoption,,,,,,,,,,,,,
