Unique Form ID,Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Signature,Payment,Attachment,Owner,Processor,End User,Multiple Users on same form,Fields,Internal Logic,Dependencies
1,5138,"Application for Extension of a Representation Order to More Than One Advocate, or to a QC Alone",HMCTS,Form,English,04/2014,5138-eng.doc,DOC,Formfinder,Crown Court,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5138,Cais am ymestyn gorchymyn cynrychiolaeth i fwy nag un eiriolwr neu i CF yn unig (Rheoliad 18 o'r Rheoliadau Cymorth Cyfreithiol Troseddol (Penderfyniadau gan Lys a Dewis Cynrychiolydd) 2013 fel y'u diwygiwyd),HMCTS,Form,Welsh,04/2014,5138-cym.doc,DOC,Formfinder,Llys y Goron,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5222,Your guide to Jury Service,HMCTS,Guidance,English,10/2016,5222-eng.pdf,PDF,Formfinder,Jury Service,NA,NA,"c(""juror-charter"", ""jury-summons-form"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5222,Eich canllaw i Wasanaeth Rheithgor,HMCTS,Guidance,Welsh,02/2015,5222-cym.pdf,PDF,Formfinder,Gwasanaeth rheithgor,NA,NA,"c(""lwfansau"", ""gwys-rheithgor"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.doc,DOC,Formfinder,Crown Court,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.pdf,PDF,Formfinder,Crown Court,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5222A,Supporting you through Jury Service,HMCTS,Leaflet,English,11/2016,5222a-eng.pdf,PDF,Formfinder,Jury Service,NA,NA,juror-charter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5222A,Yn gefn ichi Drwy'ch Gwasanaeth Rheithgor | Supporting you through Jury Service,HMCTS,Leaflet,Welsh / Bilingual,10/2016,5222a-bil.pdf,PDF,Formfinder,Jury Service,NA,NA,juror-charter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,A/E,Your guide to the Attachment of Earnings Act 1971,HMCTS,Guidance,English,11/2014,a-e-eng.pdf,PDF,Formfinder,Attachment of Earnings,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,A1,Notice of [intention to proceed with] an application for a financial remedy (other than a financial order) in the county or High Court,HMCTS,Form,English,04/2014,a1-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,NA,NA,form-a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,A1,Hysbysiad o gais [o fwriad i fwrw ymlaen a chais] am rwymedi ariannol (ar wahan i orchymyn ariannol),HMCTS,Form,Welsh,10/2016,a1-cym.pdf,PDF,Formfinder,Ysgariad/Diddymu Partneriaeth Sifil,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,A100,Consent to the placement of my child for adoption with any prospective adopters chosen by the Adoption Agency. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a100-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,A101,Consent to the placement of my child for adoption with identified prospective adopters. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a101-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,A101A,Agreement to the making of a parental order in respect of my child. Section 54 of the Human Fertilisation and Embryology Act 2008,HMCTS,Form,English,04/2011,a101a-eng.doc,DOC,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,A101A,Cytundeb i wneud gorchymyn rhieni yng nghyswllt fy mhlentyn / Agreement to the making of a parental order in respect of my child,HMCTS,Form,Welsh / Bilingual,04/2010,a101a-bil.doc,DOC,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,A102,"Consent to the placement of my child for adoption with identified prospective adopter(s) and, if the placement breaks down, with any prospective adopter(s) chosen by the adoption agency. Section 19 of the Adoption and Children Act 2002",HMCTS,Form,English,04/2013,a102-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,A103,Advance consent to Adoption. Section 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a103-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,A104,Consent to adoption. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a104-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,A105,Consent to the making of an order under Section 84 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a105-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,A106,Withdrawal of consent. Sections 19 and 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2011,a106-eng.pdf,PDF,Formfinder,Family,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,A107,Consent by the child's parent to adoption by their partner. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a107-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,A2,Notice of [intention to proceed with] an application for a financial remedy in the magistrates' court,HMCTS,Form,English,04/2011,a2-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,NA,NA,form-a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,A20,Adoption - A guide for family court users,HMCTS,Leaflet,English,11/2016,a20-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""ex50"", ""cb4"", ""cb1"", ""a58"", ""a21"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,A20,Mabwysiadu: Canllaw i ddefnyddwyr y llys teulu,HMCTS,Guidance,Welsh,04/2014,a20-cym.pdf,PDF,Formfinder,Mabwysiadu,NA,NA,"c(""ex160a"", ""ex50"", ""cb4"", ""cb1"", ""a58"", ""a21"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
