file,short_text,required
5138-eng_doc.txt,e estimated trial time 8 enclosures ν i enclose the following: if any of these document,T
5222-eng.txt,se refer to the local information leaet enclosed with your conrmation letter for detail,F
application-for-anonymity-notes-(iat)-eng.txt,"dating the declaration. once completed, enclose the form with your completed appeal for",T
c13-eng.txt,"ce, state the date(s) and author(s) and enclose a copy.c13 - w3 (9.99)to be completed b",T
c14-eng.txt,nce state the date(s) and author(s) and enclose a copy. signed(applicant)c142 the order,T
c15-eng.txt,"nce, state the date(s) and author(s)and enclose a copy.signed (applicant)dateprinted on",T
c16-eng.txt,"nce, state the date(s) and author(s)and enclose a copy.printed on behalf of the court s",T
c17-bil.txt,"ce, state the date(s) and author(s) and enclose a copy. 1 ymgynghori ymlaen llawadran 3",T
c17-eng.txt,"ce, state the date(s) and author(s) and enclose a copy. 3 the order and direction(s) ap",T
c17a-eng.txt,rder was made and when it is due to end.enclose a copy of the order.c17a - w 3 (9.99)to,T
c18-eng.txt,otection orderorin police protection.or}enclose a copy of the orderif a childs identity,T
c19-eng.txt," which will identify the child. you may enclose a recent photograph of the child, which",T
c1a-bil.txt,e this checklist to conrm that you have enclosed the following items:if you are the app,
c1a-eng.txt,e this checklist to conrm that you have enclosed the following items: if you are the ap,
c20-eng.txt,"ce, state the date(s) and author(s) and enclose a copy. to be completed by the court da",T
c3-eng.txt,"tails which identify the child. you may enclose a recent photograph ofthe child, which ",T
c4-eng.txt,"tails which identify the child. you may enclose a recent photograph ofthe child, which ",T
c7-bil.txt,"oth parts of question 6, you can obtain enclosed with the papers served on you.iw lenwi",F
c7-eng.txt,m from a court ofce if one has not been enclosed with the papers served on you. if you ,F
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.txt,he jury central summoning bureau in the enclosed envelope. the bureaus address and cont,F
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.txt,ent a confirmation pack. this pack will enclose all the information you need for your f,F
capsbacs1-eng.txt,cs (banking automated clearing system). enclosed is the information you need to do this,F
certificate-of-loss-eng.txt, apply for excusal or deferral. you may enclose a letter supporting the jurors applicat,T
cic-guide-1996-eng.txt,y of thechilds birth certificate mustbe enclosed with the application form. if the chil,T
cic-guide-2001-eng.txt,legal parental responsibility). you mustenclose the childs original birth certificate w,T
cic-guide-2008-eng.txt,y of thechilds birth certificate mustbe enclosed with the application form. if the chil,T
cop-dol10-eng.txt,"yes noif yes, please provide details. i enclose a copy of theadvance decisionlpa releva",T
cop-dol10-eng.txt,NA,
cop-gn5-eng.txt,op20a certicate of service/non service (enclosed). these forms and guidance are availab,F
cop1-eng.txt,"iondeputy, proposed deputy or other:tickenclose annex/form:appointment of deputy for pr",F
cop1b-eng.txt,n relates to: serious medical treatment enclose cop3 or alternative evidence of capacit,T
cop1b-eng.txt,1 the order i seek is as follows: 8.2 i enclose cop24 witness statement setting out evi,T
cop1e-eng.txt,ms have been paid to date.you must also enclose with your application either: a copy of,T
cop1f-eng.txt,e of registration (if applicable) 2.4 i enclose a copy of the epa/lpa (for lpas only) i,T
costs-eng_doc.txt, and accounts where appropriate. do not enclose copy statements or exhibits in represen,F
d11-eng.txt,NA,
d13b-bil.txt,"willing to forward a letter, you should enclose in the envelope a copy application and ",T
d13b-eng.txt,"willing to forward a letter, you should enclose in the envelope a copy application and ",T
d258-bil.txt,urt to arrange an assessment hearing. i enclose copies of (tick as appropriate )the doc,T
d258-eng.txt,urt to arrange an assessment hearing. i enclose copies of (tick as appropriate )the doc,T
d258a-bil.txt,lsc funded client wishes to be heard) i enclose copies of (tick as appropriate )the doc,T
d258a-eng.txt,lsc funded client wishes to be heard) i enclose copies of (tick as appropriate )the doc,T
d258b-bil.txt,prif gofrestrfar adran deulu yn unig) i enclose my fee of signed (applicant)(petitioner,T
d258b-eng.txt,ill or arrange an assessment hearing. i enclose copies of (tick as appropriate) the doc,T
d258c-bil.txt,estimate of time court should allow). i enclose my fee of signed (applicant)(petitioner,T
d258c-eng.txt,urt to arrange an assessment hearing. i enclose copies of (tick as appropriate )the ord,T
d259-bil.txt,l (04.11) hawlfraint y goron 2011 i now enclose copies of (tick as appropriate) the cos,T
d259-eng.txt,ds upon which you intend to rely ]i now enclose copies of (tick as appropriate) the cos,T
d440-eng.txt,absolute (11.14) crown copyright 2014 i enclose a cheque/postal order made payable to h,F
d89-bil.txt, recent photograph of the respondent. i enclose a recent photograph of the respondent. ,T
d89-eng.txt,etters and tick the boxes that apply. i enclose a recent photograph of the person i do ,T
eac1-eng.txt,of continuous professional education* * enclose certied copies of these qualications or,T
ex105-bil.txt,ease provide a copy of the estimatecopy enclosedabout youmrmrsmissmsother _____________,F
ex105-eng.txt,our request.datename of judgeyes nocopy enclosedex105 request that the cost of transcri,F
ex108-eng.txt,anscriber audio transcription please nd enclosed a request for a transcript together wi,F
ex20-eng.txt,"s or her representative, not the court. enclose your name, address and any reference. r",T
fe17-bil.txt,ployment and your income and outgoings. enclose a copy of your most recent pay slip if ,T
fe17-eng.txt,ployment and your income and outgoings. enclose a copy of your most recent pay slip if ,T
fe6-eng.txt,tered the fee account number oryou have enclosed the fee of make your cheque payable to,F
fe7-eng.txt,tered the fee account number oryou have enclosed the fee ofmake your cheque payable to ,F
form-edmo-eng_doc.txt, the ground for your application on the enclosed sheet titled grounds of application ot,F
form-edmo-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
form-hhsrs-eng_doc.txt, the ground for your application on the enclosed sheet titled grounds of application ot,F
form-hhsrs-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
form-hmo-eng_doc.txt, the ground for your application on the enclosed sheet titled grounds of application ot,F
form-hmo-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
form-mo-eng_doc.txt, the ground for your application on the enclosed sheet titled grounds of application ot,F
form-mo-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
form-ocn-eng_doc.txt, the ground for your application on the enclosed sheet titled grounds of application ot,F
form-ocn-eng_doc.txt,le. a copy of the required documents is enclosed (see annex 2). a crossed cheque or pos,T
form-rro1-eng_doc.txt, for the fee of £100 (if applicable) is enclosed. please put your name and address on t,F
form-rro2-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
form-rtb1-eng_doc.txt, for the fee of £100 (if applicable) is enclosed. please put your name and address on t,F
form-rtm-eng_doc.txt,lication fee of £100 (if applicable) is enclosed. please put your name and address on t,F
form-ta-eng_doc.txt,e). a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
fp244a-eng.txt,delay in dealing with your application) enclosed the correct fee or an application for ,F
fp25-eng.txt,f the applicant or his/her solicitor. i enclosed a payable order for for the witnesss e,F
ftc3-eng.txt,eorge street edinburgh eh2 4hh you must enclose a copy of the decision issued by the re,T
ftc3-notes-eng.txt,eorge street edinburgh eh2 4hh you must enclose a copy of the decision you are referrin,T
iaft-1-eng.txt,NA,
iaft-1-eng.txt,NA,
iaft-2-eng.txt,NA,
iaft-2-eng.txt,NA,
iaft-3-eng.txt,NA,
iaft-3-eng.txt,NA,
iaft-4-eng.txt,n another sheet if necessary you should enclose with this form any documents you are re,T
iaft-4-guide-eng.txt,sheet(s) if necessary. note: you should enclose with form iaft-4 any documents you are ,T
iaft-5-eng.txt,NA,
iaft-5-eng.txt,NA,
iaft-5(dia)-eng_doc.txt,NA,
iaft-5(dia)-eng_doc.txt,NA,
iaft-6-eng.txt,NA,
iaft-6-eng.txt,NA,
iaft-7-eng.txt,NA,
iaft-7-eng.txt,NA,
iaut1-eng.txt,k44 1fd or by fax 01264 347 997you must enclose the following documents with this form:,T
iaut3-eng_doc.txt,mmigration appeals) regulations 2005. i enclose all submissions and written evidence re,T
iaut3-eng.txt,mmigration appeals) regulations 2005. i enclose all submissions and written evidence re,T
jr1-eng_doc.txt,corporate body acting on its behalf.) i enclose the following documents (tick boxes as ,T
jr1-eng.txt,section 8 supporting documents you must enclose a copy of the full reasons for the deci,T
jr1-guidance-eng_doc.txt,ts you are enclosing. you should try to enclose the documents asked for but do not dela,T
jrc1-eng_doc.txt,nal injuries compensation authority.) i enclose the following documents (tick boxes as ,T
jrc1-eng.txt,nal injuries compensation authority.) i enclose the following documents (tick boxes as ,T
jrc1-notes-eng_doc.txt,ts you are enclosing. you should try to enclose the documents asked for but do not dela,T
jury-summons-form-eng.txt,t to do now it is important to read the enclosed leaflet guide to jury summons .you mus,F
jury-summons-guide-eng.txt,he jury central summoning bureau in the enclosed envelope. the jury central summoning b,F
leasehold-1-eng_doc.txt,dministration charge challenged. please enclose the following documents with the applic,T
leasehold-1-eng_doc.txt,"re that, if relevant, the following are enclosed with your application: a copy of the l",T
leasehold-10-eng_doc.txt,le. a copy of the required documents is enclosed. a crossed cheque or postal order for ,T
leasehold-11-eng_doc.txt,on (6) a copy of the required documents enclosed including copy/copies of the applicati,T
