form,references,original_file
5050a-eng_doc.txt,none detected,5050a-eng.doc
5050a-eng.txt,none detected,5050a-eng.pdf
5138-cym_doc.txt,none detected,5138-cym.doc
5138-eng_doc.txt,none detected,5138-eng.doc
5222-cym.txt,"c(""gwys rheithgor"", ""lwfansau"")",5222-cym.pdf
5222-eng.txt,"c(""juror charter"", ""jury summons form"")",5222-eng.pdf
5222a-bil.txt,juror charter,5222a-bil.pdf
5222a-eng.txt,juror charter,5222a-eng.pdf
a-e-eng.txt,none detected,a-e-eng.pdf
a1-cym.txt,none detected,a1-cym.pdf
a1-eng.txt,form a1,a1-eng.pdf
a100-eng.txt,none detected,a100-eng.pdf
a101-eng.txt,none detected,a101-eng.pdf
a101a-bil_doc.txt,none detected,a101a-bil.doc
a101a-eng_doc.txt,none detected,a101a-eng.doc
a102-eng.txt,none detected,a102-eng.pdf
a103-eng.txt,none detected,a103-eng.pdf
a104-eng.txt,none detected,a104-eng.pdf
a105-eng.txt,none detected,a105-eng.pdf
a106-eng.txt,none detected,a106-eng.pdf
a107-eng.txt,none detected,a107-eng.pdf
a2-eng.txt,form a2,a2-eng.pdf
a20-bil.txt,none detected,a20-bil.pdf
a20-cym.txt,"c(""cb1"", ""cb1"", ""cb4"", ""cb4"", ""ex50"", ""a21"", ""a21"", ""ex50"", ""a58"", ""a58"", ""ex160a"", ""ex160a"")",a20-cym.pdf
a20-eng.txt,"c(""cb1"", ""cb1"", ""cb4"", ""cb4"", ""ex50"", ""a21"", ""a21"", ""ex50"", ""a58"", ""a58"", ""ex160a"", ""ex160a"")",a20-eng.pdf
a20(1)-cym.txt,"c(""a20"", ""a20"", ""a20"")",a20(1)-cym.pdf
a20(1)-eng.txt,"c(""a20"", ""a20"", ""a20"")",a20(1)-eng.pdf
a21-cym.txt,"c(""ex50"", ""ex50"", ""a59"", ""a59"", ""ex160a"", ""ex160a"")",a21-cym.pdf
a21-eng.txt,"c(""ex50"", ""ex50"", ""a59"", ""a59"", ""ex160a"", ""ex160a"")",a21-eng.pdf
a4-eng.txt,none detected,a4-eng.pdf
a5-eng.txt,none detected,a5-eng.pdf
a50-bil.txt,none detected,a50-bil.pdf
a50-eng.txt,none detected,a50-eng.pdf
a50-nodiadau-a50-notes-bil.txt,none detected,a50-nodiadau-a50-notes-bil.pdf
a50-notes-eng.txt,"c(""a50"", ""a50"", ""a65"", ""a65"")",a50-notes-eng.pdf
a51-bil.txt,none detected,a51-bil.pdf
a51-eng.txt,none detected,a51-eng.pdf
a51-nodiadau-a51-notes-bil.txt,none detected,a51-nodiadau-a51-notes-bil.pdf
a51-notes-eng.txt,"c(""ex50"", ""ex50"", ""a51"", ""a51"", ""ex160a"", ""ex160a"")",a51-notes-eng.pdf
a52-bil.txt,none detected,a52-bil.pdf
a52-eng.txt,none detected,a52-eng.pdf
a52-nodiadau-a52-notes-bil.txt,"c(""a52 notes"", ""a52"", ""a52"", ""a65"", ""a65"")",a52-nodiadau-a52-notes-bil.pdf
a52-notes-eng.txt,"c(""ex50"", ""ex50"", ""ex160a"", ""ex160a"")",a52-notes-eng.pdf
a53-bil.txt,none detected,a53-bil.pdf
a53-eng.txt,none detected,a53-eng.pdf
a53-nodiadau-a53-notes-bil.txt,"c(""fp2"", ""fp2"", ""a53 notes"", ""a53"", ""a53"", ""a65"", ""a65"")",a53-nodiadau-a53-notes-bil.pdf
a53-notes-eng.txt,"c(""fp2"", ""fp2"", ""a53"", ""a53"")",a53-notes-eng.pdf
a54-bil.txt,none detected,a54-bil.pdf
a54-eng.txt,none detected,a54-eng.pdf
a54-nodiadau-a54-notes-bil.txt,none detected,a54-nodiadau-a54-notes-bil.pdf
a54-notes-eng.txt,"c(""a54"", ""a54"")",a54-notes-eng.pdf
a55-bil.txt,none detected,a55-bil.pdf
a55-eng.txt,none detected,a55-eng.pdf
a55-nodiadau-a55-notes-bil.txt,none detected,a55-nodiadau-a55-notes-bil.pdf
a55-notes-eng.txt,"c(""ex50"", ""ex50"", ""a55"", ""a55"", ""ex160a"", ""ex160a"")",a55-notes-eng.pdf
a56-bil.txt,none detected,a56-bil.pdf
a56-eng.txt,none detected,a56-eng.pdf
a56-nodiadau-a56-notes-bil.txt,"c(""a56"", ""a56"")",a56-nodiadau-a56-notes-bil.pdf
a56-notes-eng.txt,"c(""a56"", ""a56"")",a56-notes-eng.pdf
a57-bil.txt,"c(""a65"", ""a65"")",a57-bil.pdf
a57-eng.txt,none detected,a57-eng.pdf
a57-nodiadau-a57-notes-bil.txt,"c(""a57 notes"", ""a57"", ""a57"", ""a65"", ""a65"")",a57-nodiadau-a57-notes-bil.pdf
