file,required,short_text
251964.txt,T,where receipts and/or used tickets are attached to the application form.
251964.txt,F,wo advance payments at any one time. be attached to the next claim if sooner.
251964.txt,T,a receipt must be obtained and attached to the application form.
251965.txt,T,ays of the visit taking place or i will attach them to the next claim if sooner.
326096.txt,T,stated in this certificate or are they attached?
326096.txt,T,sis has been made have the results been attached to this certificate i am satisfied th
326818.txt,F,please refer to the attached guidance notes if you are unsure abou
326818.txt,T,i attach any and all document(s) or consent(s) r
326818.txt,T,"has been issued, it would be helpful to attach a copy to the application form. "
426519.txt,T,"if yes, give the date of the order and attach a sealed copy of the order to this form"
426519.txt,T,"if yes, complete this section and attach a copy of the defence and a sealed copy"
426532.txt,T,or a gift or charitable donation please attach form cfo pg if your deputy bank details
426543.txt,T,hs as stipulated on the order or i have attached the specific gift/donation order with
426543.txt,T,i have also completed and attached form cfo p to this form.
426562.txt,F,t cannot be made without this) you must attach a £ : full name of the deceased full na
426567.txt,T,or a gift or charitable donation please attach form cfo pg if your firm’s client accou
426574.txt,T,required (if appropriate) (complete and attach form cfo 200) 7.
426574.txt,T,to defendant’s solicitors (complete and attach form cfo 200) to go to fund postcode na
426579.txt,T,fore 6 april 2007 or e) form cfo 202 is attached a) is permission of the court require
426579.txt,F,see attached list of acceptable witnesses.
426585.txt,T,"if yes, give the date of the order and attach a sealed copy of the order to this form"
426588.txt,F,see attached list of acceptable witnesses.
426590.txt,T,of the grant of representation must be attached to this form.
426590.txt,T,the completed form cfo sst1 must be attached to this form. continued overleaf  ba
426590.txt,T,ed by the remaining representatives and attached to this form.
426590.txt,T,d copy of the death certificate must be attached to this form.
426592.txt,T,the completed form cfo sst1 must be attached to this form.
426592.txt,T,"d copy of the death certificate must be attached to this form, unless you have already"
426592.txt,T,"yes no if yes, a certified copy must be attached to this form. "
426592.txt,T,and dated by all the beneficiaries and attached to the form.
426592.txt,T,ed executor’s death certificate must be attached to this form.
426596.txt,T,d (if applicable) contact name you must attach a sealed copy of the deputyship order t
426597.txt,T,"on completion, please attach to this form your completed form cfo 20"
426599.txt,T,you must attach a certified copy of the relevant docume
426599.txt,T,clare that i am the person named in the attached document.
426623.txt,T,full name of the deputy note: you must attach a sealed copy of the deputyship order t
522571.txt,F,years before the date of the incident (attach extra sheets if necessary).
522572.txt,F,years before the date of the incident (attach extra sheets if necessary).
575127.txt,F,offence date of caution conditions attached to the caution (if applicable) have y
hq-urls.txt,F,rm-explorer.cloudapps.digital/documents/attachment/522571/document.txt -o hq/522571.tx
