file,required,short_text
245534.txt,F,"at part 12 – additional information, or attach additional sheets of paper to the form."
245534.txt,F,"ified than you can fit in this section, attach additional sheets of papers to the form"
358112.txt,F,if necessary attach additional paper to the end of this for
562109.txt,T,ce on which your objection is based and attach a copy to this form.
562374.txt,F,"at part 12 – additional information, or attach additional sheets of paper to the form."
562374.txt,F,"ified than you can fit in this section, attach additional sheets of papers to the form"
566046.txt,T,ce on which your objection is based and attach a copy to this form.
600972.txt,T,"lpa and were appointed ‘jointly’ in the attached lpa, they have all signed section 5 o"
601084.txt,F,"to apply, fill in the attached opg120a form and send it to opg along"
601101.txt,F,"to apply, fill in the attached opg120a form and send it to opg along"
opg-urls.txt,F,rm-explorer.cloudapps.digital/documents/attachment/606040/document.txt -o opg/606040.t
