file,required,short_text,automated_validation
a-e-eng.txt,F,NA,NA
a-e-eng.txt,F,booklet explains how to comply with the attachment of earnings order (aeo) that you ha,FALSE
a-e-eng.txt,F,make a deduction from what is left (the attachable earnings ) after you have deducted:,FALSE
a-e-eng.txt,F,r the purpose of calculating deductions attachment of earnings orders fall into two ca,FALSE
a-e-eng.txt,F,"ion rate of 25 calculate your employees attachable earnings, eg. 190 set aside his pro",FALSE
a-e-eng.txt,F,"ion rate of 25 calculate your employees attachable earnings, eg 170 set aside his prot",FALSE
a-e-eng.txt,F,"ion rate of 25 calculate your employees attachable earnings, eg 140 as the protected e",FALSE
a-e-eng.txt,F,"ger or shorter than that specied in the attachment of earnings order, calculate the nu",FALSE
a-e-eng.txt,F,u should calculate your employees total attachable earnings for the pay period multipl,FALSE
a-e-eng.txt,F,an ask the court to make a consolidated attachment of earnings order (caeo). this will,FALSE
a-e-eng.txt,F,ation is available in a handbook called attachment orders: a guide for employers avail,FALSE
a1-eng.txt,F,NA,NA
a1-eng.txt,T,cate which type of order(s) you are and attach the draft order with this application r,TRUE
a100-eng.txt,T,"my child), who is the child to whom the attached certified copy of the entry in the re",NA
a101-eng.txt,T,"my child), who is the child to whom the attached certified copy of the entry in the re",NA
a101a-bil_doc.txt,T,"my child), who is the child to whom the attached certified copy of the sydd ynghlwm o'",NA
a101a-eng_doc.txt,T,"my child), who is the child to whom the attached certified copy of the entry in the re",NA
a102-eng.txt,T,"my child), who is the child to whom the attached certified copy of the entry in the re",NA
a104-eng.txt,T,"my child), who is the child to whom the attached birth certificate relates (1) , in fa",NA
a105-eng.txt,T,"my child), who is the child to whom the attached birth certificate relates (1) , to (2",NA
a107-eng.txt,T,"my child), who is the child to whom the attached birth certificate relates ( see note",NA
a107-eng.txt,T,the adopted children register should be attached and not a certified copy of the origi,NA
a20-eng.txt,T,u will nd a list of the documents to be attached on the application form a58. if you a,NA
a20-eng.txt,T,nditions applies. you will also need to attach a brief statement of the facts you are,NA
a21-eng.txt,T,you will find a list of documents to be attached on the application form a59. you may,NA
a5-eng.txt,T,ption act 1976. a copy of that order is attached.2.the transfer would be in the best i,NA
a50-bil.txt,F,been made or applied for. please do not attach to this application copies of adoption,NA
a50-bil.txt,T,eich cais yn berthnasol.note: you must attach to your application a brief summary of,TRUE
a50-notes-eng.txt,T,"completing the formimportantif you are attaching any order of the high court, county",NA
a51-bil.txt,F,NA,NA
a51-bil.txt,T,hod)cases concerning a related child or attach a copy of the ) y math o orchymyn (neu,TRUE
a51-eng.txt,T,note 2 a copy of the placement order is attached. see note 3about other orders or proc,NA
a51-notes-eng.txt,T,completing the formimportantif you are attaching any order of the high court or the f,NA
a52-bil.txt,T,option.a copy of the placement order is attachedsee note 5gweler nodyn 9gwarcheidwad y,NA
a52-eng.txt,T,cation a copy of the placement order is attached part 5 statement of truth if you atte,NA
a52-nodiadau-a52-notes-bil.txt,T,completing the formimportantif you are attaching any order of the high court or a cou,NA
a52-notes-eng.txt,T,completing the formimportantif you are attaching any order of the high court or the f,NA
a53-bil.txt,T,lication (please give details below and attach a copy of the order to your application,TRUE
a53-eng.txt,T,mber type of order date of order(please attach a copy of the order to your application,TRUE
a53-nodiadau-a53-notes-bil.txt,T,option and children act 2002.if you are attaching any order of the high court or a cou,NA
a53-notes-eng.txt,T,der section 51a of that act. if you are attaching any previous court order to your app,NA
a54-notes-eng.txt,T,ption and children act 2002. if you are attaching any order of the high court or the f,NA
a55-bil.txt,T,rchname of your contact in the agencyor attach a copy of the placement ordername of co,TRUE
a55-eng.txt,T,lacement order (please give details and attach a copy of the placement order)about oth,TRUE
