file,short_text,required
5138-eng_doc.txt,me 8 enclosures ν i enclose the following: if a,T
5222-eng.txt,l information leaet enclosed with your conrmati,F
application-for-anonymity-notes-(iat)-eng.txt,"on. once completed, enclose the form with your ",T
c13-eng.txt,) and author(s) and enclose a copy.c13 - w3 (9.,T
c14-eng.txt,) and author(s) and enclose a copy. signed(appl,T
c15-eng.txt,s) and author(s)and enclose a copy.signed (appl,T
c16-eng.txt,s) and author(s)and enclose a copy.printed on b,T
c17-bil.txt,) and author(s) and enclose a copy. 1 ymgynghor,T
c17-eng.txt,) and author(s) and enclose a copy. 3 the order,T
c17a-eng.txt,en it is due to end.enclose a copy of the order,T
c18-eng.txt,olice protection.or}enclose a copy of the order,T
c19-eng.txt, the child. you may enclose a recent photograph,T
c1a-bil.txt,conrm that you have enclosed the following item,T
c1a-eng.txt,conrm that you have enclosed the following item,T
c20-eng.txt,) and author(s) and enclose a copy. to be compl,T
c3-eng.txt, the child. you may enclose a recent photograph,T
c4-eng.txt, the child. you may enclose a recent photograph,T
c7-bil.txt,"n 6, you can obtain enclosed with the papers se",F
c7-eng.txt,if one has not been enclosed with the papers se,F
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.txt,oning bureau in the enclosed envelope. the bure,F
canllawiau-i-wys-rheithgor-guide-to-jury-summons-bil.txt,ack. this pack will enclose all the information,F
capsbacs1-eng.txt,d clearing system). enclosed is the information,F
certificate-of-loss-eng.txt,r deferral. you may enclose a letter supporting,T
cic-guide-1996-eng.txt, certificate mustbe enclosed with the applicati,T
cic-guide-2001-eng.txt,nsibility). you mustenclose the childs original,T
cic-guide-2008-eng.txt, certificate mustbe enclosed with the applicati,T
cop-dol10-eng.txt, provide details. i enclose a copy of theadvanc,T
cop-dol10-eng.txt,NA,
cop-gn5-eng.txt,ervice/non service (enclosed). these forms and ,F
cop1-eng.txt,deputy or other:tickenclose annex/form:appointm,F
cop1b-eng.txt,s medical treatment enclose cop3 or alternative,T
cop1b-eng.txt,s as follows: 8.2 i enclose cop24 witness state,T
cop1e-eng.txt, date.you must also enclose with your applicati,T
cop1f-eng.txt,f applicable) 2.4 i enclose a copy of the epa/l,T
costs-eng_doc.txt,appropriate. do not enclose copy statements or ,F
d11-eng.txt,NA,
d13b-bil.txt," letter, you should enclose in the envelope a c",T
d13b-eng.txt," letter, you should enclose in the envelope a c",T
d258-bil.txt,sessment hearing. i enclose copies of (tick as ,T
d258-eng.txt,sessment hearing. i enclose copies of (tick as ,T
d258a-bil.txt,shes to be heard) i enclose copies of (tick as ,T
