file,short_text,required
5138-eng_doc.txt,n and the necessary supporting documents should be,T
5138-eng_doc.txt,"completed form, and supporting documents, provide ",T
a20-eng.txt,your application or supporting documents that need,T
a21-eng.txt,your application or supporting documents that need,T
a58-nodiadau-a58-notes-bil.txt,", and a copy of any supporting documents (such as ",T
a58-notes-eng.txt,", and a copy of any supporting documents (such as ",T
a59-nodiadau-a59-notes-bil.txt,", and a copy of any supporting documents (such as ",T
a59-notes-eng.txt,", and a copy of any supporting documents (such as ",T
a61-nodiadau-a61-notes-bil.txt,", and a copy of any supporting documents (such as ",T
a61-notes-eng.txt,", and a copy of any supporting documents (such as ",T
cop-dla-eng.txt,on or 9section 10 - supporting documentsstandard a,T
cop-gn1-eng.txt,form cop1a annex a: supporting information for pro,F
cop-gn2-eng.txt,form cop1d annex d: supporting information for app,F
cop-gn4-eng.txt,application and any supporting documents a blank c,T
cop1d-eng.txt,poration or deputy) supporting documents including,F
cop35-eng.txt, attached8section 7 supporting documents7.1 to sup,F
cop35-eng.txt,"pellants notice and supporting documents, you shou",F
cop36-eng.txt,n support section 7 supporting documents title of ,F
cop42-eng.txt,"py of all forms and supporting documents), it will",T
cop42-eng.txt,tion type forms and supporting documents app01 rel,T
d11-bil.txt,NA,
d11-eng.txt,NA,
d8-nodiadau-d8-notes-bil.txt,crown copyright 2014supporting notes for guidance ,F
d8d-nodiadau-d8d-notes-bil.txt,crown copyright 2014supporting notes for guidance ,F
d8n-nodiadau-d8n-notes-bil.txt,rt fees d8n (notes) supporting notes for guidance ,F
ex306-eng.txt,tructions to send a supporting document to the cou,T
ex340-eng.txt, the notice and the supporting documents as indica,T
ex340-eng.txt,"notice, and provide supporting documents, which th",T
ex660-notes-eng.txt,ave to disclose any supporting documentation to th,T
ex725-eng.txt,nclude any relevant supporting documents where app,T
fe6-eng.txt,the application and supporting documents to be ret,T
fe7-eng.txt,the application and supporting documents to be ret,T
form-202-eng.txt,"eal, the bundle and supporting documents will be p",T
form-202-eng.txt, copy of it and any supporting documents must be s,T
form-p10-eng_doc.txt,relied on section 7 supporting documents if you do,T
form-p10-eng.txt,code t116 section 7 supporting documents if you do,T
form-p10-guidance-notes-eng.txt,plication.section 7 supporting documentsdo not del,T
form-p9-eng_doc.txt,section 7 section 7 supporting documents if you do,T
form-p9-eng.txt,code t115 section 7 supporting documents if you do,T
form-p9-guidance-notes-eng.txt,plication.section 7 supporting documentsdo not del,T
form-ta-eng_doc.txt,"of members, and any supporting documents, will be ",T
fp161-eng.txt,NA,
fp161a-eng.txt,onment. section 12: supporting documents if appeal,T
fp162-eng.txt,NA,
fp162a-eng.txt,t of time. section 9supporting documentsyou may ha,T
fp162a-eng.txt, the notice and any supporting documents or bundle,T
fp244a-eng.txt,our application and supporting documentation. you ,T
iaft-1-eng.txt,a reference and any supporting documents. failure ,T
