file,short_text,required
5138-eng_doc.txt,aking the application and the necessary supporting documents should be submitted with the ,T
5138-eng_doc.txt,"ot believe that the completed form, and supporting documents, provide all the information ",T
a20-eng.txt,kes or omissions in your application or supporting documents that need to be corrected; if,T
a21-eng.txt,ors or omissions in your application or supporting documents that need to be corrected; wh,T
a58-nodiadau-a58-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa",T
a58-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa",T
a59-nodiadau-a59-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).note 3 a c",T
a59-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).a conventi",T
a61-nodiadau-a61-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa",T
a61-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).note 2a61 ",T
cop-dla-eng.txt,ate//namename position or 9section 10 - supporting documentsstandard authorisation best in,T
cop-gn1-eng.txt,d: cop1 application form cop1a annex a: supporting information for property and affairs ap,
cop-gn2-eng.txt,ns cop1 application form cop1d annex d: supporting information for applications to appoint,
cop-gn4-eng.txt,iven: a copy of the application and any supporting documents a blank copy of the cop5 form,T
cop1d-eng.txt,"solicitor, trust corporation or deputy) supporting documents including:(a) in respect of a",T
cop35-eng.txt,tement form.evidence attached8section 7 supporting documents7.1 to support your appeal you,T
cop35-eng.txt,"ve completed your appellants notice and supporting documents, you should take, or send the",T
cop36-eng.txt,e note 6) evidence in support section 7 supporting documents title of documentreason not s,T
cop42-eng.txt," original and one copy of all forms and supporting documents), it will issue it by putting",T
cop42-eng.txt,ation type idapplication type forms and supporting documents app01 relating to property an,T
d11-bil.txt,NA,
d11-eng.txt,NA,
d8-nodiadau-d8-notes-bil.txt,on petition (04.14) crown copyright 2014supporting notes for guidance on completing a divo,
d8d-nodiadau-d8d-notes-bil.txt,partnership (01.14) crown copyright 2014supporting notes for guidance on completing a peti,
d8n-nodiadau-d8n-notes-bil.txt,civil and family court fees d8n (notes) supporting notes for guidance on completing a null,
ex306-eng.txt,hey may include: instructions to send a supporting document to the court and to the other ,T
ex340-eng.txt,ude enough copies of the notice and the supporting documents as indicated in the guidance ,T
ex340-eng.txt,"r to the appellants notice, and provide supporting documents, which they must also send to",T
ex660-notes-eng.txt,NA,
